number,letter,number_location,letter_location,position,corrAns,number_mapping,letter_mapping
2,E,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
8,A,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,B,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
8,U,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
3,E,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
3,L,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
7,I,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
7,H,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
3,U,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
7,B,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
6,A,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
2,A,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
5,U,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
4,L,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
8,P,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
8,A,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
5,A,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
6,E,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
3,P,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
2,H,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
1,E,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
7,I,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
6,I,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
2,E,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
3,E,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
4,I,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,L,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
7,A,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
7,A,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
8,U,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
4,B,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
5,P,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
5,I,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
3,L,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
4,U,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
5,H,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
1,A,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
5,A,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
5,P,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
5,E,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
