number,letter,number_location,letter_location,position,corrAns,number_mapping,letter_mapping
5,B,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
8,E,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
3,I,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
8,U,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
2,P,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,E,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
5,I,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
5,A,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
4,B,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
3,B,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
8,A,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,P,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
2,P,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
8,L,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
4,L,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
4,E,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
6,L,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
6,U,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
2,I,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
6,H,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
7,U,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
4,B,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,L,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
3,B,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
1,A,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
3,A,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
2,B,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
7,U,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
8,B,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
8,A,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
4,I,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
7,P,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
3,E,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
8,I,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
8,L,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
5,U,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
1,A,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
6,I,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
7,A,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
7,B,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
