number,letter,number_location,letter_location,position,corrAns,number_mapping,letter_mapping
8,L,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
5,A,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
7,B,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
6,B,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
2,H,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
7,U,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
3,H,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
4,B,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
4,L,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,L,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
7,H,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
2,I,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
8,H,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
7,L,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
4,A,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
3,U,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
8,A,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
8,A,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
4,H,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
1,L,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
2,H,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
7,E,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
6,I,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
1,B,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
8,I,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
4,U,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
2,E,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
3,H,"[-.2, -.2]","[-.1, -.2]",4,f,F = odd; J = even,F = consonant; J = vowel
3,H,"[-.2, .2]","[-.1, .2]",1,f,F = odd; J = even,F = consonant; J = vowel
7,L,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
3,L,"[.1, -.2]","[.2, -.2]",3,f,F = odd; J = even,F = consonant; J = vowel
4,E,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
8,P,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
4,E,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,I,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
7,A,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
4,B,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
6,E,"[.1, .2]","[.2, .2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,E,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
7,A,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
6,P,"[-.2, .2]","[-.1, .2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,U,"[.1, .2]","[.2, .2]",2,f,F = odd; J = even,F = consonant; J = vowel
1,I,"[.1, -.2]","[.2, -.2]",3,j,F = odd; J = even,F = consonant; J = vowel
5,U,"[-.2, -.2]","[-.1, -.2]",4,j,F = odd; J = even,F = consonant; J = vowel
